,Unnamed: 0,Year,Date,Day,Name,Type
314,338,2021,20-Oct,Wednesday,Day off for Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
319,343,2021,25-Dec,Saturday,Christmas Day,Public Holiday
322,350,2022,1-Jan,Saturday,New Year's Day,Public Holiday
323,351,2022,1-Feb,Tuesday,Lunar New Year's Day,Public Holiday
324,352,2022,28-Feb,Monday,Ascension of the Prophet Muhammad,Public Holiday
325,353,2022,28-Feb,Monday,Ascension of the Prophet Muhammad,Public Holiday
327,355,2022,3-Mar,Thursday,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
331,359,2022,15-Apr,Friday,Good Friday,Public Holiday
335,363,2022,1-May,Sunday,International Labor Day,Public Holiday
336,364,2022,2-May,Monday,Idul Fitri,Public Holiday
337,365,2022,3-May,Tuesday,Idul Fitri Holiday,Public Holiday
341,369,2022,16-May,Monday,Waisak Day (Buddha's Anniversary),Public Holiday
342,370,2022,26-May,Thursday,Ascension Day of Jesus Christ,Public Holiday
343,371,2022,26-May,Thursday,Ascension Day of Jesus Christ,Public Holiday
344,372,2022,1-Jun,Wednesday,Pancasila Day,National holiday
347,375,2022,10-Jul,Sunday,Idul Adha,Public Holiday
348,376,2022,30-Jul,Saturday,Muharram / Islamic New Year,Public Holiday
349,377,2022,30-Jul,Saturday,Muharram / Islamic New Year,Public Holiday
351,379,2022,17-Aug,Wednesday,Indonesian Independence Day,Public Holiday
359,387,2022,8-Oct,Saturday,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
365,393,2022,25-Dec,Sunday,Christmas Day,Public Holiday
367,398,2023,1-Jan,Sunday,New Year's Day,Public Holiday
368,399,2023,22-Jan,Sunday,Lunar New Year's Day,Public Holiday
372,403,2023,18-Feb,Saturday,Ascension of the Prophet Muhammad,Public Holiday
373,404,2023,18-Feb,Saturday,Ascension of the Prophet Muhammad,Public Holiday
376,407,2023,22-Mar,Wednesday,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
380,411,2023,7-Apr,Friday,Good Friday,Public Holiday
385,416,2023,22-Apr,Saturday,Idul Fitri,Public Holiday
386,417,2023,23-Apr,Sunday,Idul Fitri Holiday,Public Holiday
390,421,2023,1-May,Monday,International Labor Day,Public Holiday
391,422,2023,18-May,Thursday,Ascension Day of Jesus Christ,Public Holiday
392,423,2023,18-May,Thursday,Ascension Day of Jesus Christ,Public Holiday
393,424,2023,1-Jun,Thursday,Pancasila Day,National holiday
395,426,2023,4-Jun,Sunday,Waisak Day (Buddha's Anniversary),Public Holiday
397,428,2023,29-Jun,Thursday,Idul Adha,Public Holiday
398,429,2023,29-Jun,Thursday,Idul Adha,Public Holiday
399,430,2023,19-Jul,Wednesday,Muharram / Islamic New Year,Public Holiday
400,431,2023,19-Jul,Wednesday,Muharram / Islamic New Year,Public Holiday
401,432,2023,17-Aug,Thursday,Indonesian Independence Day,Public Holiday
407,438,2023,28-Sep,Thursday,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
408,439,2023,28-Sep,Thursday,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday),Public Holiday
416,447,2023,25-Dec,Monday,Christmas Day,Public Holiday
422,453,2024,1-Jan,Monday,New Year's Day,Public Holiday
423,454,2024,1-Jan,Monday,New Year's Day,Public Holiday
424,455,2024,8-Feb,Thursday,Ascension of the Prophet Muhammad,Public Holiday
426,457,2024,10-Feb,Saturday,Lunar New Year's Day,Public Holiday
427,458,2024,14-Feb,Wednesday,Election Day,Public Holiday
428,459,2024,14-Feb,Wednesday,Election Day,Public Holiday
430,461,2024,11-Mar,Monday,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday
435,466,2024,29-Mar,Friday,Good Friday,Public Holiday
436,467,2024,31-Mar,Sunday,Easter Sunday,Public Holiday
437,468,2024,31-Mar,Sunday,Easter Sunday,Public Holiday
440,471,2024,10-Apr,Wednesday,Idul Fitri (Tentative Date),Public Holiday
441,472,2024,11-Apr,Thursday,Idul Fitri Holiday (Tentative Date),Public Holiday
445,476,2024,1-May,Wednesday,International Labor Day,Public Holiday
446,477,2024,9-May,Thursday,Ascension Day of Jesus Christ,Public Holiday
448,479,2024,23-May,Thursday,Waisak Day (Buddha's Anniversary),Public Holiday
451,482,2024,1-Jun,Saturday,Pancasila Day,National holiday
452,483,2024,17-Jun,Monday,Idul Adha (Tentative Date),Public Holiday
456,487,2024,7-Jul,Sunday,Muharram / Islamic New Year (Tentative Date),Public Holiday
457,488,2024,7-Jul,Sunday,Muharram / Islamic New Year (Tentative Date),Public Holiday
458,489,2024,17-Aug,Saturday,Indonesian Independence Day,Public Holiday
463,494,2024,15-Sep,Sunday,Maulid Nabi Muhammad (The Prophet Muhammad's Birthday) (Tentative Date),Public Holiday
473,504,2024,25-Dec,Wednesday,Christmas Day,Public Holiday
